,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,1 0 2 0 8 - 2 - P E R U M A H A N   M A K M U R   K U A L A   L A N A R   I N D A H   J A Y A,MESWARA TRADING SDN. BHD.,10208,10208/04-2026/0459(R),07 Apr 2023,06 Apr 2026,0392501856,admin@mayerlandsb.com,-,"10208-2,",SAKIT,10208-2/04-2024/0537(R)-(L),07 Apr 2023,06 Apr 2024,"RM 80,000.00",74.30mps - 337.90mps,RUMAH BERKEMBAR,1,0,0,93 - 338,100,0,"139,158.00","168,900.00",80.00,"[""4.168625, 102.101204""]",,https://teduh.kpkt.gov.my/project-swasta/10208-2,"(2073, '10208-2')"
1,1 0 2 0 8 - 2 - P E R U M A H A N   M A K M U R   K U A L A   L A N A R   I N D A H   J A Y A,MESWARA TRADING SDN. BHD.,10208,10208/04-2026/0459(R),07 Apr 2023,06 Apr 2026,0392501856,admin@mayerlandsb.com,-,"10208-2,",SAKIT,10208-2/04-2024/0537(R)-(L),07 Apr 2023,06 Apr 2024,"RM 80,000.00",74.30mps - 337.90mps,RUMAH TERES,1,3,2,74,125,56,"80,000.00","110,940.00",42.32,"[""4.168625, 102.101204""]",,https://teduh.kpkt.gov.my/project-swasta/10208-2,"(2073, '10208-2')"
2,1 0 2 0 8 - 2 - P E R U M A H A N   M A K M U R   K U A L A   L A N A R   I N D A H   J A Y A,MESWARA TRADING SDN. BHD.,10208,10208/04-2026/0459(R),07 Apr 2023,06 Apr 2026,0392501856,admin@mayerlandsb.com,-,"10208-2,",SAKIT,10208-2/04-2024/0537(R)-(L),07 Apr 2023,06 Apr 2024,"RM 80,000.00",74.30mps - 337.90mps,RUMAH TERES,1,0,0,98 - 157,70,0,"179,000.00","269,000.00",75.07,"[""4.168625, 102.101204""]",,https://teduh.kpkt.gov.my/project-swasta/10208-2,"(2073, '10208-2')"
3,1 0 3 8 8 - 1 0 - P E R U M A H A N   P E R M A T A N G   B A D A K   P E R D A N A,VITAMAJU DEVELOPMENT SDN. BHD.,10388,10388/08-2026/0383(A),15 Aug 2021,14 Aug 2026,095363030,vitamaju@yahoo.com,-,"10388-10,",BERJALAN LANCAR,10388-10/12-2024/0454(N)-(L),22 Dec 2022,21 Dec 2024,"RM 229,000.00",87.00mps - 128.00mps,RUMAH TERES,1,4,2,87,10,1,"269,000.00","389,000.00",92.25,"[""3.786803, 103.257195""]",,https://teduh.kpkt.gov.my/project-swasta/10388-10,"(2098, '10388-10')"
4,1 0 3 8 8 - 1 0 - P E R U M A H A N   P E R M A T A N G   B A D A K   P E R D A N A,VITAMAJU DEVELOPMENT SDN. BHD.,10388,10388/08-2026/0383(A),15 Aug 2021,14 Aug 2026,095363030,vitamaju@yahoo.com,-,"10388-10,",BERJALAN LANCAR,10388-10/12-2024/0454(N)-(L),22 Dec 2022,21 Dec 2024,"RM 229,000.00",87.00mps - 128.00mps,RUMAH TERES,1,0,0,98,9,8,"279,000.00","369,000.00",93.89,"[""3.786803, 103.257195""]",,https://teduh.kpkt.gov.my/project-swasta/10388-10,"(2098, '10388-10')"
5,1 0 3 8 8 - 1 0 - P E R U M A H A N   P E R M A T A N G   B A D A K   P E R D A N A,VITAMAJU DEVELOPMENT SDN. BHD.,10388,10388/08-2026/0383(A),15 Aug 2021,14 Aug 2026,095363030,vitamaju@yahoo.com,-,"10388-10,",BERJALAN LANCAR,10388-10/12-2024/0454(N)-(L),22 Dec 2022,21 Dec 2024,"RM 229,000.00",87.00mps - 128.00mps,RUMAH TERES,1,4,2,128,11,6,"229,000.00","439,000.00",92.73,"[""3.786803, 103.257195""]",,https://teduh.kpkt.gov.my/project-swasta/10388-10,"(2098, '10388-10')"
6,1 0 3 8 8 - 1 1 - P E R U M A H A N   P E R M A T A N G   B A D A K   M A J U,VITAMAJU DEVELOPMENT SDN. BHD.,10388,10388/08-2026/0383(A),15 Aug 2021,14 Aug 2026,095363030,vitamaju@yahoo.com,-,"10388-11,",BERJALAN LANCAR,10388-11/07-2025/0819(N)-(L),18 Jul 2023,17 Jul 2025,"RM 279,000.00",102.21mps - 104.97mps,RUMAH TERES,1,0,0,102,15,9,"279,000.00","369,000.00",72.33,"[""3.795671, 103.261288""]",,https://teduh.kpkt.gov.my/project-swasta/10388-11,"(2079, '10388-11')"
7,1 0 3 8 8 - 1 1 - P E R U M A H A N   P E R M A T A N G   B A D A K   M A J U,VITAMAJU DEVELOPMENT SDN. BHD.,10388,10388/08-2026/0383(A),15 Aug 2021,14 Aug 2026,095363030,vitamaju@yahoo.com,-,"10388-11,",BERJALAN LANCAR,10388-11/07-2025/0819(N)-(L),18 Jul 2023,17 Jul 2025,"RM 279,000.00",102.21mps - 104.97mps,RUMAH TERES,1,0,0,105,15,13,"288,000.00","378,000.00",72.33,"[""3.795671, 103.261288""]",,https://teduh.kpkt.gov.my/project-swasta/10388-11,"(2079, '10388-11')"
8,1 0 7 5 6 - 8 - K E M P A D A N G   B A Y   F A S A   1   ( P A K E J   8 ),GABUNGAN IRAMA SDN. BHD.,10756,10756/10-2028/1325(R),21 Oct 2023,20 Oct 2028,0129877578,suriyati.hashim@franky.com.my,-,"10756-8,",BELUM MULA,10756-8/01-2026/0084(N)-(L),26 Jan 2024,25 Jan 2026,"RM 322,118.00",102.00mps - 124.58mps,RUMAH TERES,1,0,0,102 - 119,21,21,"322,118.00","415,059.00",0.00,,,https://teduh.kpkt.gov.my/project-swasta/10756-8,"(2074, '10756-8')"
9,1 0 7 5 6 - 8 - K E M P A D A N G   B A Y   F A S A   1   ( P A K E J   8 ),GABUNGAN IRAMA SDN. BHD.,10756,10756/10-2028/1325(R),21 Oct 2023,20 Oct 2028,0129877578,suriyati.hashim@franky.com.my,-,"10756-8,",BELUM MULA,10756-8/01-2026/0084(N)-(L),26 Jan 2024,25 Jan 2026,"RM 322,118.00",102.00mps - 124.58mps,RUMAH TERES,1,0,0,125,30,30,"365,295.00","437,059.00",0.00,,,https://teduh.kpkt.gov.my/project-swasta/10756-8,"(2074, '10756-8')"
