,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,1 0 - 8 - T A M A N   P E R L I N G,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29 Jun 2023,28 Jun 2028,079311101,srg_jpn@shyg.com.my,-,"10-8,",LEWAT,10-8/03-2024/0487(R)-(L),11 Mar 2023,10 Mar 2024,"RM 391,200.00",197mps - 248mps,RUMAH TERES,2,0,0,197 - 218,14,6,"391,200.00","539,880.00",70.00,"[""2.548280, 102.959194""]",,https://teduh.kpkt.gov.my/project-swasta/10-8,"(865, '10-8')"
1,1 0 - 8 - T A M A N   P E R L I N G,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29 Jun 2023,28 Jun 2028,079311101,srg_jpn@shyg.com.my,-,"10-8,",LEWAT,10-8/03-2024/0487(R)-(L),11 Mar 2023,10 Mar 2024,"RM 391,200.00",197mps - 248mps,RUMAH TERES,2,0,0,244 - 248,16,7,"484,800.00","674,500.00",75.63,"[""2.548280, 102.959194""]",,https://teduh.kpkt.gov.my/project-swasta/10-8,"(865, '10-8')"
2,1 0 1 1 7 - 9 - D ' A R T   H I L L S   R E S I D E N C E,MULTIMAX DEVELOPMENT SDN. BHD.,10117,10117/09-2027/1050(R),27 Sep 2022,26 Sep 2027,072268688,zarina@phworld.com.my,-,"10117-9,",BERJALAN LANCAR,10117-9/06-2025/0749(N)-(L),26 Jun 2023,25 Jun 2025,"RM 703,800.00",258mps - 330mps,RUMAH TERES,3,"5, 6","4, 5",258 - 330,114,69,"703,800.00","1,276,800.00",10.92,,,https://teduh.kpkt.gov.my/project-swasta/10117-9,"(764, '10117-9')"
3,1 0 1 2 3 - 1 - K O T A   S U T E R A   S D N   B H D,KOTA SUTERA SDN. BHD.,10123,10123/03-2025/0272(A),18 Mar 2022,17 Mar 2025,-,-,-,"10123-1,",SIAP DENGAN: CCC PENUH,10123-1/12-2015/02554(P),11 Dec 2014,10 Dec 2015,"RM 50,000.00",0mps,RUMAH TERES,1,0,0,0,11,11,"59,001.00","76,802.00",100.00,"[""2.393290, 103.374713""]",,https://teduh.kpkt.gov.my/project-swasta/10123-1,"(793, '10123-1')"
4,1 0 1 2 3 - 1 - K O T A   S U T E R A   S D N   B H D,KOTA SUTERA SDN. BHD.,10123,10123/03-2025/0272(A),18 Mar 2022,17 Mar 2025,-,-,-,"10123-1,",SIAP DENGAN: CCC PENUH,10123-1/12-2015/02554(P),11 Dec 2014,10 Dec 2015,"RM 50,000.00",0mps,RUMAH TERES,1,0,0,0,42,42,"145,000.00","174,240.00",100.00,"[""2.393290, 103.374713""]",,https://teduh.kpkt.gov.my/project-swasta/10123-1,"(793, '10123-1')"
5,1 0 1 2 3 - 1 - K O T A   S U T E R A   S D N   B H D,KOTA SUTERA SDN. BHD.,10123,10123/03-2025/0272(A),18 Mar 2022,17 Mar 2025,-,-,-,"10123-1,",SIAP DENGAN: CCC PENUH,10123-1/12-2015/02554(P),11 Dec 2014,10 Dec 2015,"RM 50,000.00",0mps,RUMAH TERES,1,0,0,0,34,34,"89,000.00","120,000.00",100.00,"[""2.393290, 103.374713""]",,https://teduh.kpkt.gov.my/project-swasta/10123-1,"(793, '10123-1')"
6,1 0 1 2 3 - 1 - K O T A   S U T E R A   S D N   B H D,KOTA SUTERA SDN. BHD.,10123,10123/03-2025/0272(A),18 Mar 2022,17 Mar 2025,-,-,-,"10123-1,",SIAP DENGAN: CCC PENUH,10123-1/12-2015/02554(P),11 Dec 2014,10 Dec 2015,"RM 50,000.00",0mps,RUMAH TERES,1,0,0,0,42,42,"50,000.00","75,300.00",100.00,"[""2.393290, 103.374713""]",,https://teduh.kpkt.gov.my/project-swasta/10123-1,"(793, '10123-1')"
7,1 0 2 1 3 - 5 3 - T A M A N   B I N T A N G,SUBLIME PROJECTS SDN. BHD.,10213,10213/01-2029/1502(R),07 Jan 2024,06 Jan 2029,069537848,sublime_168@hotmail.com,-,"10213-53,",SIAP DENGAN: CCC PENUH,10213-53/05-2024/0866(R)-(L),19 May 2023,18 May 2024,"RM 352,500.00",106mps,RUMAH BERKEMBAR,1,0,0,106,14,7,"352,500.00","385,000.00",100.00,"[""1.960897, 102.634802""]",,https://teduh.kpkt.gov.my/project-swasta/10213-53,"(729, '10213-53')"
8,1 0 2 1 3 - 5 4 - T A M A N   S E R I   U N A S   2,SUBLIME PROJECTS SDN. BHD.,10213,10213/01-2029/1502(R),07 Jan 2024,06 Jan 2029,069537848,sublime_168@hotmail.com,-,"10213-54,",BERJALAN LANCAR,10213-54/01-2025/0048(R)-(L),07 Jan 2024,06 Jan 2025,"RM 394,000.00",91mps - 139mps,RUMAH BERKEMBAR,1,0,0,91 - 98,20,20,"394,000.00","415,000.00",87.50,"[""1.989357, 102.603363""]",,https://teduh.kpkt.gov.my/project-swasta/10213-54,"(888, '10213-54')"
9,1 0 2 1 3 - 5 4 - T A M A N   S E R I   U N A S   2,SUBLIME PROJECTS SDN. BHD.,10213,10213/01-2029/1502(R),07 Jan 2024,06 Jan 2029,069537848,sublime_168@hotmail.com,-,"10213-54,",BERJALAN LANCAR,10213-54/01-2025/0048(R)-(L),07 Jan 2024,06 Jan 2025,"RM 394,000.00",91mps - 139mps,RUMAH SESEBUAH,1,0,0,139,2,2,"535,000.00","535,000.00",87.50,"[""1.989357, 102.603363""]",,https://teduh.kpkt.gov.my/project-swasta/10213-54,"(888, '10213-54')"
10,1 0 2 1 3 - 5 5 - T A M A N   S E R I   A N G G U N,SUBLIME PROJECTS SDN. BHD.,10213,10213/01-2029/1502(R),07 Jan 2024,06 Jan 2029,069537848,sublime_168@hotmail.com,-,"10213-55,",BERJALAN LANCAR,10213-55/04-2025/0459(N)-(L),17 Apr 2023,16 Apr 2025,"RM 430,000.00",93mps - 144mps,RUMAH SESEBUAH,1,0,0,144,1,1,"720,000.00","720,000.00",35.00,,,https://teduh.kpkt.gov.my/project-swasta/10213-55,"(513, '10213-55')"
11,1 0 2 1 3 - 5 5 - T A M A N   S E R I   A N G G U N,SUBLIME PROJECTS SDN. BHD.,10213,10213/01-2029/1502(R),07 Jan 2024,06 Jan 2029,069537848,sublime_168@hotmail.com,-,"10213-55,",BERJALAN LANCAR,10213-55/04-2025/0459(N)-(L),17 Apr 2023,16 Apr 2025,"RM 430,000.00",93mps - 144mps,RUMAH BERKEMBAR,1,0,0,93 - 102,10,10,"430,000.00","470,000.00",35.00,,,https://teduh.kpkt.gov.my/project-swasta/10213-55,"(513, '10213-55')"
12,1 0 2 1 3 - 5 6 - T A M A N   S E R I   T E M E N G G O N G,SUBLIME PROJECTS SDN. BHD.,10213,10213/01-2029/1502(R),07 Jan 2024,06 Jan 2029,069537848,sublime_168@hotmail.com,-,"10213-56,",BERJALAN LANCAR,10213-56/04-2025/0458(N)-(L),17 Apr 2023,16 Apr 2025,"RM 468,000.00",104mps - 137mps,RUMAH SESEBUAH,1,0,0,121 - 137,3,2,"650,000.00","679,000.00",48.33,,,https://teduh.kpkt.gov.my/project-swasta/10213-56,"(500, '10213-56')"
13,1 0 2 1 3 - 5 6 - T A M A N   S E R I   T E M E N G G O N G,SUBLIME PROJECTS SDN. BHD.,10213,10213/01-2029/1502(R),07 Jan 2024,06 Jan 2029,069537848,sublime_168@hotmail.com,-,"10213-56,",BERJALAN LANCAR,10213-56/04-2025/0458(N)-(L),17 Apr 2023,16 Apr 2025,"RM 468,000.00",104mps - 137mps,RUMAH BERKEMBAR,1,0,0,104 - 127,12,11,"468,000.00","571,000.00",48.33,,,https://teduh.kpkt.gov.my/project-swasta/10213-56,"(500, '10213-56')"
14,1 0 2 4 1 - 4 - D E S A   P A L M A,NASA LAND SDN. BHD.,10241,10241/07-2028/1051(A),07 Jul 2023,06 Jul 2028,073578899,kpktcentral@ijm.com,-,"10241-4,",SIAP DENGAN: CCC PENUH,10241-4/07-2024/1262(R)-(L),07 Jul 2023,06 Jul 2024,"RM 658,000.00",153mps - 159mps,RUMAH TERES,2,4,3,153 - 159,105,12,"658,000.00","990,000.00",100.00,"[""1.554191, 103.726809""]",,https://teduh.kpkt.gov.my/project-swasta/10241-4,"(797, '10241-4')"
15,1 0 2 4 1 - 5 - D E S A   P A L M A,NASA LAND SDN. BHD.,10241,10241/07-2028/1051(A),07 Jul 2023,06 Jul 2028,073578899,kpktcentral@ijm.com,-,"10241-5,",BERJALAN LANCAR,10241-5/04-2025/0411(N)-(L),05 Apr 2023,04 Apr 2025,"RM 815,000.00",151mps - 168mps,RUMAH TERES,2,4,3,151 - 168,52,13,"815,000.00","1,032,000.00",44.42,"[""1.554018, 103.724053""]",,https://teduh.kpkt.gov.my/project-swasta/10241-5,"(816, '10241-5')"
