,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,4 7 1 4 - 1 9 - T A M A N   T A N J U N G   B A K T I   ( F A S A   4 ),BAKTIPADU SDN. BHD,4714,4714/02-2028/0131(A),20 Feb 2023,19 Feb 2028,6053123654,baktipadusb@hotmail.com,-,"4714-19,",SIAP DENGAN: CCC PENUH,4714-19/04-2021/01908(P),28 Apr 2020,27 Apr 2021,"RM 228,000.00",100mps - 101mps,1,0,0,101,5,2,"238,000.00","398,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""4.667708, 101.172428""]",,https://teduh.kpkt.gov.my/project-swasta/4714-19,"1, 130, 0"
1,4 7 1 4 - 1 9 - T A M A N   T A N J U N G   B A K T I   ( F A S A   4 ),BAKTIPADU SDN. BHD,4714,4714/02-2028/0131(A),20 Feb 2023,19 Feb 2028,6053123654,baktipadusb@hotmail.com,-,"4714-19,",SIAP DENGAN: CCC PENUH,4714-19/04-2021/01908(P),28 Apr 2020,27 Apr 2021,"RM 228,000.00",100mps - 101mps,1,0,0,100,32,3,"228,000.00","350,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""4.667708, 101.172428""]",,https://teduh.kpkt.gov.my/project-swasta/4714-19,"1, 130, 0"
2,4 7 1 4 - 2 0 - M E D A N   L A P A N G A N   C Y B E R,BAKTIPADU SDN. BHD,4714,4714/02-2028/0131(A),20 Feb 2023,19 Feb 2028,6053123654,baktipadusb@hotmail.com,-,"4714-20,",SIAP DENGAN: CCC PENUH,4714-20/02-2024/0108(R)-(S),20 Feb 2023,19 Feb 2024,"RM 265,000.00",0mps - 193mps,3,3,3,0 - 151,54,0,"265,000.00","388,520.00",100.00,SIAP DENGAN: CCC PENUH,"[""4.551047, 101.109008""]",,https://teduh.kpkt.gov.my/project-swasta/4714-20,"2, 130, 0"
3,4 7 1 4 - 2 0 - M E D A N   L A P A N G A N   C Y B E R,BAKTIPADU SDN. BHD,4714,4714/02-2028/0131(A),20 Feb 2023,19 Feb 2028,6053123654,baktipadusb@hotmail.com,-,"4714-20,",SIAP DENGAN: CCC PENUH,4714-20/02-2024/0108(R)-(S),20 Feb 2023,19 Feb 2024,"RM 265,000.00",0mps - 193mps,2,4,3,0 - 193,40,5,"403,620.00","540,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""4.551047, 101.109008""]",,https://teduh.kpkt.gov.my/project-swasta/4714-20,"2, 130, 0"
4,4 7 1 4 - 2 1 - M E D A N   L A P A N G A N   C Y B E R,BAKTIPADU SDN. BHD,4714,4714/02-2028/0131(A),20 Feb 2023,19 Feb 2028,6053123654,baktipadusb@hotmail.com,-,"4714-21,",BERJALAN LANCAR,4714-21/01-2026/0009(N)-(S),04 Jan 2023,03 Jan 2026,"RM 292,600.00",0mps,3,"3, 6","2, 3, 5",0,28,8,"292,600.00","421,900.00",80.00,BERJALAN LANCAR,"[""4.549765, 101.110346""]",,https://teduh.kpkt.gov.my/project-swasta/4714-21,"3, 130, 0"
5,4 7 1 4 - 2 1 - M E D A N   L A P A N G A N   C Y B E R,BAKTIPADU SDN. BHD,4714,4714/02-2028/0131(A),20 Feb 2023,19 Feb 2028,6053123654,baktipadusb@hotmail.com,-,"4714-21,",BERJALAN LANCAR,4714-21/01-2026/0009(N)-(S),04 Jan 2023,03 Jan 2026,"RM 292,600.00",0mps,2,4,"3, 4",0,19,9,"483,000.00","588,900.00",80.00,BERJALAN LANCAR,"[""4.549765, 101.110346""]",,https://teduh.kpkt.gov.my/project-swasta/4714-21,"3, 130, 0"
6,4 7 1 4 - 2 2 - A P A R T M E N   P U T R A   B A K T I,BAKTIPADU SDN. BHD,4714,4714/02-2028/0131(A),20 Feb 2023,19 Feb 2028,6053123654,baktipadusb@hotmail.com,-,"4714-22,",BERJALAN LANCAR,4714-22/04-2026/0454(N)-(S),17 Apr 2023,16 Apr 2026,"RM 149,000.00",0mps,5,"3, 4",2,0,138,96,"149,000.00","350,000.00",25.62,BERJALAN LANCAR,,,https://teduh.kpkt.gov.my/project-swasta/4714-22,"4, 130, 0"
7,4 7 1 9 - 1 - T A M A N   K L U A N G   B A R A T,KEAT SIONG DEVELOPMENTS SDN. BHD.,4719,4719/05-2023/1321(R),09 May 2017,08 May 2023,-,-,-,"4719-1,",PERMIT TELAH DIBATALKAN,4719/778/1994(07),24 Jul 1993,23 Jul 1994,"RM 350,000.00",0mps,2,0,0,0,35,35,"350,000.00","350,000.00",0.00,BELUM MULA,"[""2.007276, 103.286119""]",,https://teduh.kpkt.gov.my/project-swasta/4719-1,"5, 130, 0"
8,4 7 1 9 - 1 - T A M A N   K L U A N G   B A R A T,KEAT SIONG DEVELOPMENTS SDN. BHD.,4719,4719/05-2023/1321(R),09 May 2017,08 May 2023,-,-,-,"4719-1,",PERMIT TELAH DIBATALKAN,4719/778/1994(07),24 Jul 1993,23 Jul 1994,"RM 350,000.00",0mps,2,0,0,0,106,106,"624,000.00","624,000.00",0.00,BELUM MULA,"[""2.007276, 103.286119""]",,https://teduh.kpkt.gov.my/project-swasta/4719-1,"5, 130, 0"
9,4 7 1 9 - 1 - T A M A N   K L U A N G   B A R A T,KEAT SIONG DEVELOPMENTS SDN. BHD.,4719,4719/05-2023/1321(R),09 May 2017,08 May 2023,-,-,-,"4719-1,",PERMIT TELAH DIBATALKAN,4719/778/1994(07),24 Jul 1993,23 Jul 1994,"RM 350,000.00",0mps,2,0,0,0,16,16,"576,000.00","576,000.00",0.00,BELUM MULA,"[""2.007276, 103.286119""]",,https://teduh.kpkt.gov.my/project-swasta/4719-1,"5, 130, 0"
10,4 7 1 9 - 2 - T A M A N   B E R L I A N   B I R U,KEAT SIONG DEVELOPMENTS SDN. BHD.,4719,4719/05-2023/1321(R),09 May 2017,08 May 2023,-,-,-,"4719-2,",-,-,-,-,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/4719-2,"6, 130, 0"
11,4 7 1 9 - 3 - T A M A N   H I D A Y A T,KEAT SIONG DEVELOPMENTS SDN. BHD.,4719,4719/05-2023/1321(R),09 May 2017,08 May 2023,-,-,-,"4719-3,",-,-,-,-,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/4719-3,"7, 130, 0"
12,4 7 1 9 - 4 - T A M A N   M A W A I   J A Y A,KEAT SIONG DEVELOPMENTS SDN. BHD.,4719,4719/05-2023/1321(R),09 May 2017,08 May 2023,-,-,-,"4719-4,",-,4719-4/2493/2004(12),30 Dec 2003,29 Dec 2004,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/4719-4,"8, 130, 0"
13,4 7 2 3 - 1 - T A M A N   S E R D A N G   R A Y A   S E K   3,TINGGIAN DEVELOPMENT SDN. BHD.,4723,4723/08-2027/0829(R),29 Aug 2022,28 Aug 2027,043866138,pg@huayang.com.my,www.huayang.com.my,"4723-1,",-,4723/789/1994(07),28 Jul 1993,27 Jul 1994,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/4723-1,"9, 130, 0"
14,4 7 2 3 - 2 - A S T O N   A C A C I A,TINGGIAN DEVELOPMENT SDN. BHD.,4723,4723/08-2027/0829(R),29 Aug 2022,28 Aug 2027,043866138,pg@huayang.com.my,www.huayang.com.my,"4723-2,",BERJALAN LANCAR,4723-2/08-2024/1324(R)-(S),29 Aug 2023,28 Aug 2024,"RM 292,600.00",0mps - 90mps,33,"2, 3, 4","2, 3",0 - 90,311,0,"292,600.00","682,500.00",78.84,BERJALAN LANCAR,"[""5.363164, 100.465299""]",,https://teduh.kpkt.gov.my/project-swasta/4723-2,"10, 130, 0"
15,4 7 2 3 - 3 - P A N G S A P U R I   S E R V I S   A S T O N   A C A C I A,TINGGIAN DEVELOPMENT SDN. BHD.,4723,4723/08-2027/0829(R),29 Aug 2022,28 Aug 2027,043866138,pg@huayang.com.my,www.huayang.com.my,"4723-3,",BERJALAN LANCAR,4723-3/10-2025/0228(N)-(S),11 Oct 2022,10 Oct 2025,"RM 319,200.00",0mps,33,"2, 3, 4","2, 3",0,311,50,"319,200.00","681,950.00",63.79,BERJALAN LANCAR,,,https://teduh.kpkt.gov.my/project-swasta/4723-3,"11, 130, 0"
16,4 7 3 1 - 1 - T A M A N   P E N G K A L A N   J A Y A,TOTAL RESOURCES SDN. BHD.,4731,4731/05-2028/0779(R),12 May 2023,11 May 2028,-,-,www.tihomes.com,"4731-1,",SIAP DENGAN: CFO PENUH,4731/825/1997(07),17 Jul 1996,16 Jul 1997,"RM 83,900.00",0mps,2,0,0,0,93,93,"83,900.00","83,900.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/4731-1,"12, 130, 0"
17,4 7 3 1 - 2 - T A M A N   P E N G K A L A N   J A Y A,TOTAL RESOURCES SDN. BHD.,4731,4731/05-2028/0779(R),12 May 2023,11 May 2028,-,-,www.tihomes.com,"4731-2,",-,-,-,-,RM 0.00,0mps,2,0,0,0,6,6,0.00,0.00,0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/4731-2,"13, 130, 0"
18,4 7 3 1 - 2 - T A M A N   P E N G K A L A N   J A Y A,TOTAL RESOURCES SDN. BHD.,4731,4731/05-2028/0779(R),12 May 2023,11 May 2028,-,-,www.tihomes.com,"4731-2,",-,-,-,-,RM 0.00,0mps,2,0,0,0,50,50,0.00,0.00,0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/4731-2,"13, 130, 0"
19,4 7 3 1 - 2 - T A M A N   P E N G K A L A N   J A Y A,TOTAL RESOURCES SDN. BHD.,4731,4731/05-2028/0779(R),12 May 2023,11 May 2028,-,-,www.tihomes.com,"4731-2,",-,-,-,-,RM 0.00,0mps,2,0,0,0,9,9,0.00,0.00,0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/4731-2,"13, 130, 0"
20,4 7 3 1 - 3 - T A M A N   P E N G K A L A N   J A Y A,TOTAL RESOURCES SDN. BHD.,4731,4731/05-2028/0779(R),12 May 2023,11 May 2028,-,-,www.tihomes.com,"4731-3,",-,-,-,-,RM 0.00,0mps,2,0,0,0,9,9,0.00,0.00,0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/4731-3,"14, 130, 0"
21,4 7 3 1 - 3 - T A M A N   P E N G K A L A N   J A Y A,TOTAL RESOURCES SDN. BHD.,4731,4731/05-2028/0779(R),12 May 2023,11 May 2028,-,-,www.tihomes.com,"4731-3,",-,-,-,-,RM 0.00,0mps,2,0,0,0,50,50,0.00,0.00,0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/4731-3,"14, 130, 0"
