,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,1 0 - 7 - T A M A N   K E N A R I   I N D A H,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29 Jun 2023,28 Jun 2028,079311101,srg_jpn@shyg.com.my,-,"10-7,",SIAP DENGAN: CCC PENUH,10-7/11-2022/03392(A)-(L),25 Nov 2021,24 Nov 2022,"RM 341,740.00",139mps - 145mps,1,0,0,139 - 145,2,0,"409,330.00","637,260.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.487070, 102.839390""]",,https://teduh.kpkt.gov.my/project-swasta/10-7,"1, 2, 0"
1,1 0 - 7 - T A M A N   K E N A R I   I N D A H,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29 Jun 2023,28 Jun 2028,079311101,srg_jpn@shyg.com.my,-,"10-7,",SIAP DENGAN: CCC PENUH,10-7/11-2022/03392(A)-(L),25 Nov 2021,24 Nov 2022,"RM 341,740.00",139mps - 145mps,1,0,0,145,14,0,"341,740.00","573,430.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.487070, 102.839390""]",,https://teduh.kpkt.gov.my/project-swasta/10-7,"1, 2, 0"
2,1 0 - 8 - T A M A N   P E R L I N G,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29 Jun 2023,28 Jun 2028,079311101,srg_jpn@shyg.com.my,-,"10-8,",LEWAT,10-8/03-2024/0487(R)-(L),11 Mar 2023,10 Mar 2024,"RM 391,200.00",197mps - 248mps,2,0,0,197 - 218,14,6,"391,200.00","539,880.00",70.00,BERJALAN LANCAR,"[""2.548280, 102.959194""]",,https://teduh.kpkt.gov.my/project-swasta/10-8,"2, 2, 0"
3,1 0 - 8 - T A M A N   P E R L I N G,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29 Jun 2023,28 Jun 2028,079311101,srg_jpn@shyg.com.my,-,"10-8,",LEWAT,10-8/03-2024/0487(R)-(L),11 Mar 2023,10 Mar 2024,"RM 391,200.00",197mps - 248mps,2,0,0,244 - 248,16,7,"484,800.00","674,500.00",75.63,LEWAT,"[""2.548280, 102.959194""]",,https://teduh.kpkt.gov.my/project-swasta/10-8,"2, 2, 0"
4,1 0 - 9 - T A M A N   D E S A,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29 Jun 2023,28 Jun 2028,079311101,srg_jpn@shyg.com.my,-,"10-9,",BERJALAN LANCAR,10-9/06-2024/1211(R)-(L),29 Jun 2023,28 Jun 2024,"RM 325,000.00",108mps - 209mps,2,0,0,209,7,7,"429,000.00","429,000.00",5.00,BERJALAN LANCAR,"[""2.033898, 103.056228""]",,https://teduh.kpkt.gov.my/project-swasta/10-9,"3, 2, 0"
5,1 0 - 9 - T A M A N   D E S A,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29 Jun 2023,28 Jun 2028,079311101,srg_jpn@shyg.com.my,-,"10-9,",BERJALAN LANCAR,10-9/06-2024/1211(R)-(L),29 Jun 2023,28 Jun 2024,"RM 325,000.00",108mps - 209mps,1,0,0,108 - 110,23,23,"325,000.00","568,500.00",5.00,BERJALAN LANCAR,"[""2.033898, 103.056228""]",,https://teduh.kpkt.gov.my/project-swasta/10-9,"3, 2, 0"
6,1 0 1 2 - 1 - T A M A N   S U R I A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-1,",-,1012/938/1997(08),10 Aug 1996,09 Aug 1997,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-1,"8, 17, 0"
7,1 0 1 2 - 1 0 - T A M A N   R E P O H   J A Y A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-10,",-,1012/932/2002(06),02 Jun 2001,01 Jun 2002,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-10,"17, 17, 0"
8,1 0 1 2 - 1 1 - T A M A N   S E J A H T E R A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-11,",SIAP DENGAN: CFO PENUH,1012-11/1868/2007(09),13 Sep 2006,12 Sep 2007,"RM 34,900.00",0mps,1,0,0,0,30,30,"34,900.00","47,000.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1012-11,"18, 17, 0"
9,1 0 1 2 - 1 1 - T A M A N   S E J A H T E R A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-11,",SIAP DENGAN: CFO PENUH,1012-11/1868/2007(09),13 Sep 2006,12 Sep 2007,"RM 34,900.00",0mps,1,0,0,0,46,46,"92,000.00","113,080.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1012-11,"18, 17, 0"
